,City,Max Temp,Lat,Lng,Humidity,Cloudiness,Wind Speed,Country,Date
310,Khandyga,57.29,62.67,135.6,68,29,4.54,RU,1594833705
311,Mossamedes,68.13,-15.2,12.15,87,2,6.42,AO,1594833706
312,Turaif,100.4,31.67,38.66,17,20,9.17,SA,1594833446
313,Keetmanshoop,57.2,-26.58,18.13,24,0,13.87,NA,1594833706
314,Širvintos,73.4,55.05,24.95,45,99,9.17,LT,1594833706
315,Port Blair,81.86,11.67,92.75,82,100,10.11,IN,1594833707
316,Glasgow,59.0,55.87,-4.26,82,90,11.41,GB,1594833574
317,Tešanjka,80.6,44.67,18.01,41,20,5.82,BA,1594833707
318,Talnakh,48.2,69.49,88.4,93,75,6.71,RU,1594833439
319,Van Wert,87.01,40.87,-84.58,42,1,8.05,US,1594833708
320,Babu,80.71,24.42,111.52,76,53,2.15,CN,1594833708
321,Emerald,48.2,-23.53,148.17,57,0,5.82,AU,1594833708
322,Ranong,81.0,9.97,98.63,76,100,4.88,TH,1594833708
323,Leningradskiy,41.25,69.38,178.42,88,100,10.09,RU,1594833708
324,Tiarei,73.4,-17.53,-149.33,88,75,5.82,PF,1594833448
325,Kuching,77.0,1.55,110.33,100,20,1.12,MY,1594833709
326,Quatre Cocos,73.0,-20.21,57.76,73,40,13.87,MU,1594833709
327,Itoman,84.2,26.12,127.67,89,40,21.92,JP,1594833709
328,College,59.0,64.86,-147.8,76,75,4.7,US,1594833709
329,Houma,93.0,29.6,-90.72,70,40,4.7,US,1594833710
330,Leh,66.4,34.17,77.58,25,2,6.11,IN,1594833710
331,Linfen,80.17,36.09,111.52,51,38,2.95,CN,1594833710
332,Hamilton,91.0,39.18,-84.53,43,1,8.05,US,1594833671
333,Oktyabr'skiy,75.34,54.48,53.47,75,0,2.51,RU,1594833710
334,Havre-St-Pierre,64.4,50.23,-63.6,63,1,9.17,CA,1594833710
335,Dudinka,48.2,69.41,86.18,93,75,6.71,RU,1594833711
336,Muskegon,80.01,43.3,-86.13,61,90,8.05,US,1594833711
337,Sorong,80.76,-0.88,131.25,78,100,7.47,ID,1594833711
338,Rawson,46.9,-43.3,-65.1,52,30,8.5,AR,1594833712
339,Codrington,41.31,-38.27,141.97,91,19,5.12,AU,1594833647
340,Cabo San Lucas,95.0,22.89,-109.91,43,5,5.82,MX,1594833418
